复活之战斗在第三帝国 　　　　世界上再没有比在碧蓝的天空里自由自在的飞翔更享受的事情了。
梦醒细无声 　　“你丫不就是个公务员嘛，上次劈我的时候就用那么粗的闪电，这次还变本加厉了，这尼玛就是公报私仇！”洪涛又活了，一睁眼都不用看自己周围的环境，就知道自己这次穿越又成功了。这种活儿对他来讲已经算是熟练工种，浑身那种大病初愈的感觉就已经很能说明问题啦。
韩警官 　　西元2012年3月，南港市公安局开发区分局接到群众报警，辖区一民宅内有人从事犯罪活动。
电影教师 　　　　“病人怎么还没醒？这都四天了，这么大一帅哥，不会成植物人吧？”
完美大明星 　　　　陆晨做了一个梦，一个很长很长的梦。
超时空垃圾站 　　　　“大娘。”
唐朝好地主 　　事情如此匪夷所思，却又如此真实。
调教大宋 　　万般皆下品，唯有读书高。
天神诀 　　昆仑山下。
好莱坞之路 　　“墨菲-斯坦顿，非法入侵私人住宅罪和过失伤人罪罪名成立，判处罚金二十万美元，监禁十二个月……”
恶魔囚笼 　　七月，烈日骄阳。
天启之门 　　　　第一章【不要啊！】
系统供应商 　　“豫哥儿！讲个故事！讲个故事！”
无界仙皇 　　街边的一间小茶铺里，衣衫不整的陈志宁满头冷汗坐在桌子边，白皙清秀的少年脸庞，因为苍白显得有些冷厉。
名侦探世界里的巫师 　　“哈哈！哪里跑？好不容易才找到一只鬼，要是就让你这么跑了，老子还好意思自称鬼巫师嘛~”
仙界归来 　　“唐修，你将钱藏到哪去了，赶紧拿出来！”
动力王朝 　　　　“陈，你真的要辞职吗？”马丁·温特科恩皱着眉头，满肚子的不甘心就这么放陈耕走，哪怕明知道陈耕已经下定了决心，可他还是决定再努力一下：“如果是对公司的福利待遇不满意吗，我们可以再商量……”
抗日之将胆传奇 　　　　胡斌坐在小山包上，小山包下穿着八路军服的战士在训练着，没错，是八路的军服。
都市超级医圣 　　“师父，明天我就要去县城准备上学的事情，以后就不能每天来看望你，这是你最喜欢喝的花雕酒，十年陈的，还有你喜欢吃的叫花子鸡，今天我们师徒两吃喝个痛快。”白云山，一座坟墓前，一个少年人手中端着一坛五斤装的花雕酒，前面摆放着一只用荷叶包着的叫花子鸡，还有两个瓷碗，一边往碗中倒酒，一边嘴里喃喃着。
懒散初唐 　　有人穿越后第一眼看到美女，有人穿越后第一眼看到神仙，更有人中了****运，穿越后的第一眼就看到美女神仙，李休也穿越了，可惜他的第一眼却看到一块半人高的墓碑，而且他还以一种十分暧昧的姿势把墓碑抱在怀里，如果这里有人看到他，肯定会怀疑他和墓碑有什么超越物种的友谊。
侠行天下 　　蓝影共和国是一个小国，但也是一个强国，经济繁荣，人文璀璨，科技发达，从某种意义上来说，除了土地太少，人口也不多，军事力量并不太强以外，蓝影共和国可以说是蓝海东部区域众多国家中最强大的一员，政治地位与经济地位都是一等一的强国。
穿越到游戏商店 　　　　老天爷跟戚枫开了一个玩笑。一个原本混吃等死的大二学生，突然有一天不知为何就拥有了超能力。可能是因为闪电劈了他的电脑，也有可能他买的五元一张的盗版系统有问题，反正现实就是，戚枫的笔记本电脑挂了，而戚枫却能够“穿越”了。
史上最强店主 　　天空湛蓝，大日悬空，烈日炎炎。
全知全能者 　　一千七百五十年前，魏晋南北朝时期，身为竹林七贤之一也可以说是之首的嵇康，因有碍当朝而被入狱，后被判处死刑。临刑前，当着三千太学士及众多围观者之面弹琴一首，弹毕，道：“《广陵散》于今绝矣！”
大穿越时代 　　白菜街位于市区边缘的城郊结合部，是一条非常平凡的小街。
主宰江山 　　乾隆三十年（西历1765年），汝州（直隶州）鲁山县城。
重生之拳台杀手 　　一零年五月，西郊高中。
美漫之大冬兵 　　夏天啧啧轻叹着，带着VR眼镜，手中拿着手柄不断的乱按着，整个人被虚拟现实的VR眼镜装备直接代入了另一个世界中，而在他的世界里，此时的他正双手弥漫着绯红色的雾气，在繁华的纽约上空大杀特杀。
我真是雷神 　　“我这是在哪儿？”
帝国重器 　　　　“爷爷，你知道咱们绣城哪里有氩弧焊吗？”
幻想降临现实 　　灰白、黯淡的空间，没有天、没有地，也没有任何生命，整个空间中，弥漫着薄薄的灰色雾气，还有仿佛从天边传来，回荡在周围，缓慢、哀怨、忧伤的淡淡乐曲。
网游之我是武学家 　　L市人才大厦，一个身形瘦小的眼镜男坐在桌前，在他的面前，站着一个魁梧高大的男子。
末日轮盘 　　第一章一梦十年
娱乐点金手 　　2016年7月31日，对于叶秋来说，这是一个值得庆祝的日子，在网文界熬了七八年的叶秋，在这一天第一次接到了责任编辑的电话。
史上第一方丈 　　（提示：前四十章有点毒，写起来有些生涩，戾气也比较重。四十章以后会好很多。毕竟新人新作，很多地方写的不能让大家满意，还请谅解。）
赘婿 　　　　咔嚓……砰——
晚清之乱臣贼子 　　　　“老夫打死你！打死你！打死你这个小兔崽子！老夫上辈子到底是做了什么孽，怎么会有你这么一个孙子？一点都不叫老夫省心，一点都不叫老夫省心啊！”
五行天 　　身旁胖子嘴里的麦芽糖咬得咯吱咯吱响，落日的余晖洒落大地，风柔和得像羽毛，没有半点平日里的肃杀和冷，艾辉不知道自己以后还会不会记得这一天。
主神崛起 　　清晨和煦的阳光洒入房内，令吴明眯起了眼睛。
马前卒 　　秦风盘坐在毡毯之上，仔细地将葛藤一圈一圈地缠在刀柄之上，格外的小心，每绕一圈，都要用力地拉紧。这种葛藤是落英山脉之中的一种独特的藤类植物，在沸水之中煮上几个时辰，取出来晾干之后，便柔软如麻绳，但其强韧却坚逾钢铁，其上无数小颗粒的凸起，使之握在手上又充满着质感，战场之上，握在手中，绝不会因为染上了鲜血便在手上打滑。
特拉福买家俱乐部 　　严格来说，洛邱并不算是一个孤儿，因为他有法理上的监护人和亲人。
带着仓库到大明 　　方醒很嗨皮，作为一个打工仔，他居然抽奖抽到了美国五日游。
超级怪兽工厂 　　泱泱华夏，千万平方公里领土。
位面电梯 　　啪！
君临诸天 　　“该死，没想到受伤这么重，下次老子非得灭了清虚门不可……”
续南明 　　这块土地正在死去。
永恒国度 　　叮铃铃！！
八零后修道记 　　张叫花，出生在农历一九八五年七月十四日。农历七月十五是中元节。中元节俗称鬼节，农村里每年在这一日之前祭祖。张叫花的爹娘都是农民，家中老大是他，老小也是他。因为爹娘的头一胎是男孩，按照计划生育政策，只能生一个。梅子坳水库的坝上用石灰写了一行很震撼的标语：跑了儿子找老子，跑了老子拆房子。
超级仙学院 　　如果在一个小时之前，有人和王星说，对着流星许愿，愿望就会实现。
真武世界 　　　　这个时代，人活着很不容易，易云对此深有体会，但是他从未想过，自己还是大好年华的时候，会有这么一天，真的就这么要死了。
神藏 　　　　金陵，地处华夏东部地区，长江下游，濒江近海。
宋末之乱臣贼子 　　李璟醒来的时候，入鼻的是一股淡淡的清香，香气让他头疼欲裂的脑袋居然有一丝清爽，他缓缓的睁开双眼，入眼的是一个古旧的床，这个床是以红木制造的，关键是这个床周围的还有许多锦绣制成的东西，按照他的分析，这些东西应该是帐幔、缴壁、承尘、柱衣、额道、项帕、覆旌、床裙等等称呼，这些东西应该是宋朝出现的，
机破星河 　　洛伽星，隶属星河联邦第四行政区，联邦版图中最为偏远的星体，本应只有代号的星球却因为爆发了数次戍卫联邦的残酷之战，以牺牲的最高将领少将洛伽之名命名。虽然特例，却依然被大多数人所遗忘。
武道宗师 　　秋老虎威风凛凛，依旧巡视着人间，下午三点的阳光炽白而酷烈，晒在厚重黑沉的巨大场馆外表，为它披上了一层金色的蓑衣。
儒道之天下霸主 　　七月的天气，依旧炽热，即便是到了天色渐黑的傍晚，热气也难以消散。
读档九八 　　九八年，五月四日，上午八点二十一。
修真百年归来 　　秦路快要被气疯了！
重生日本高校生 　　　　平坦的水泥路两旁，是已经完全绽放的樱花树，微风轻拂，粉红的花瓣随风飞舞，就像下了一场漂亮的花雨。
纯阳武神 　　　　大汉****。
二次元黄毛系统 　　八神太二顶着一头黄毛忧郁的站在榊野学园的门口。
花与剑与法兰西 　　　　1847年的仲夏，一个平常的傍晚，巴黎如同平常一样闷热不堪。这座欧洲最大的都市之一，此时已经聚集了庞大的人口，因而每到夏天，就会有一种令人窒息的闷热感。
超级金钱帝国 　　张伟觉得他这一生很有意思，简直可以拍一部灾难片了。
东方梦工厂 　　宿醉后的清醒，伴随着难受想吐的胃和记忆有限的脑子。
我家的大明郡主 　　　　序章
重卡战车在末世 　　2000年4月21日沈聪出生于安徽无为，父母打拼半辈子，陆续买了六辆大卡车，开了一家运输公司。后来运输公司效益开始差劲，赶上房价上涨，父母卖了五辆大卡车，购买了七套房子。
神级巫医在都市 　　下午五点，太阳依旧毒辣，不过处在竹林里的西华医科大学解剖楼，却是凉爽的很。
控球先生 　　当周正气喘吁吁的爬上这座三十三层的烂尾楼楼顶时，已经是下午三点半了。
大明文魁 　　闽水上江水击荡，十里江面具是浑黄。
元气少年 　　《超级教师》系列王者归来，张君宝出品，必属精品。
医鼎 　　　　江州市位于长江中部以北，算是一座古城，靠近长江水域，有了发展的资本，不过历史上却是没有出过什么了不得的大名人，所以在史书当中是名声不显，但是却也有实实在在的近五千年的历史，根据传说，江州市的历史可以追溯到上古的黄帝蚩尤之战当中去。
寻情仙使 　　在无尽的虚空中，一个小小的身影以奇快的速度划过，带起了长长的残影。
贼警 　　（本故事纯属虚构，如有巧合，只是雷同。）
食戟之冒牌小当家 　　直到刘昴星站在了看起来仿若城中之城的“远月学院”门口，依旧心中缺乏实感……
从笑星走向巨星 　　姓名：周星！
史上最牛轮回 　　“游戏........已经开始了吗？”江晨从昏迷之中醒来，脑海里嗡嗡一片，灰白色的记忆片段迅速组合，他下意识抬起左手，只见手腕上果然套着一只时隐时现的银色腕表，令他脸上不禁浮现出几分苦涩的笑。
我的末世基地车 　　九月底，炎热漫长的夏季终于过去，秋天到了。
大宋风华 　　大宋政和元年，西元一一一一年。
网游之全球在线 　　又一次转生......
明末工程师 　　崇祯七年一月的天0津卫城。
重生之神级明星 　　“醒醒，青仔……”
海贼王之剑豪之心 　　蔚蓝的大海上，一艘豪华游轮缓缓行驶，在人类的智慧下，大海已经不在是无法战胜，豪华的游轮大厅里，每个男士都是那么温文尔雅，女士也是优雅大方。
海贼王之美食系统 　　“我靠！我靠！我靠！！！贼老天，你要不要这么玩我啊？！OK，我承认是喜欢看海贼王没错，但真的没必要直接把我扔进来吧？”雷法无语仰望苍天，欲哭无泪。
太易 　　壬寅年冬，寒风凛冽，素雪无垠。
文体巨星 　　人生无常，每一个回眸都可能成为永恒。
冠绝新汉朝 　　汉继业四年，冬。
超级角色球员 　　初夏的早晨，芝加哥早早的天亮了。
古董商的寻宝之旅 　　1986年10月底的一天中午，明晃晃的大太阳挂在头顶，虽然气温已不如夏季那般热，但阳光仍然刺眼！街道上行人不少，正值下班时间。
魔神乐园 　　2035年，震惊世界的大爆炸在新国的最大城市之一，奔海城的上空发生，不但城市以及周边的地形因为爆炸而发生了巨大的变化，突然出现的异界空洞使得一部分异界和现世重合在了一起。
驭房有术 　　“这就是镇海市……”
我是杀毒软件 　　每一次呼吸之间，都像是一万年那么漫长。
青莲剑说 　　清晨时分，犹如轻纱薄絮般的淡淡薄雾在碧水无波的居摩湖面缓缓聚散离合，由远及近的欸乃声款款传来，一叶轻舟划开翡翠似的湖水，留下一片起伏不定的涟漪，在片片随之摇曳的莲叶间穿行。
万界直播之大土豪 　　“恭喜你，你被解雇了。”对面，一名中年女子简单明了的说到。
神医磁皇 　　凌晨一点半，星城WC区附近一驾校中心的偏僻住房。
主神大道 　　赵奇感到很苦恼，真的很苦恼。
重生之我是BOSS 　　（PS：看完第一章对三大公会有疑问的读者，请务必看看作品相关内的一点说明）
全能大歌王 　　“呵呵，林扬，你这样的天才我们‘环艺唱片’可不敢用啊，抱歉了。”
文娱缔造者 　　序
神纹战记 　　亿万星辰，共同组成了一副浩瀚无根的星河图。
一剑飞仙 　　　　人越是长大，就越是认清这个世界，曾有过的憧憬和幻想，会被现实一一击破。
剑道之王 　　礼州，云之帝国五州之一，云森城虽非礼州首府，却位处于通往大漠交通要道，繁华璀璨，往复来回的商旅、豪客，使得城门内外进进出出者络绎不绝。
万法梵医 　　苍穹之下，乌云如铅，仿佛情人肌肤上一块结痂的疤痕，落满了久远的伤痛和记忆！
穿越宁采臣 　　上古时期，浩瀚神州，人族新生，茹毛饮血、食不果腹，正直妖魔横行，鬼魅丛生，视人族为血食，山河风雨飘摇，世间流血漂橹，人族如无根浮萍，在夹缝中艰难求生！
Actor异乡人 　　“这是在哪里？”高仓奏想要睁开双眼，但双眼却一直无法睁开，好像是被什么东西给挡住了一样。
偷香 　　　　眼下一定要先搞套好点的装备，然后风风光光的去邺城做我的成功人士，单飞领回新衣新鞋后，心中嘀咕了一句。
大宋的最强纨绔子弟 　　“不知道高俅父子死了没有……两个祸害啊！”
异域神州道 　　　　凡是看过金庸小说，甚至没看过的人都知道这个神奇技能的。所谓左右互博就是左右手各使一套完全不同的武功，使战斗力乘以2，甚至是相辅相成乘以10的特异技巧。
地产之王 　　　　“哈……”
二次元王座 　　这是一个略显宁静的街道，三三两两的车辆行驶在路上，轻微的喇叭声为宁静的街道增添了一丝活力。
最后一个使徒 　　这是我开始写的第八个开头了。
迷失在一六二九 　　　　蓝天，白云，金沙滩……
裁决 　　　　楔子
超级黑科技 　　有人说，自从互联网发展以来，所有人都有了第2个身份。因为，在上网聊天的时候，谁也不知道自己的对面是人还是狗。
宝典 　　“你挑着担，我牵着马，迎来日出送走晚霞……”
电影世界大抽奖 　　　　这是一条并不宽敞的小巷，两边都是卖东西的小店，这里的人无论男女老少，大多穿着古旧，甚至有人身穿长袍马褂，带着浓浓的近代风情。
霸皇纪 　　　　东神州，大荒群山，铁林部。
天唐锦绣 　　大唐，贞观十二年冬。
球场教父 　　“坎德拉利亚先生，你不觉得你今天的行为太过分了吗？”巴勃罗-班德拉斯大声指责说道。
邪神旌旗 　　隋雄呻吟一声，睁开了眼睛。
神门 　　　　渺渺炊烟中，淡淡的雾气笼罩着苍岭山下一座由石头堆彻而成的小山村，随着初阳慢慢升起，一抹淡金色的阳光从天空之中落下，洒落在小山村中一间四门的小小宅院之上，犹如给小院披上了一件轻纱般的云裳……
重生之财源滚滚 　　“东子，快醒醒，这堂是老陈的课！”
拳坛巨星 　　湖南省体院旁的一条小巷子里面，一群大概十五六岁半大男孩，正围着一个跟年纪他们差不多大的小子拳打脚踢。
哈利波特与秘密宝藏 　　黄昏时分，正在从地平线上缓缓消失的夕阳，给位于伦敦国王路6号的大宅子镀上一层淡淡的金黄色。
最强网络神豪 　　“唔，差不多了。”
文艺生活 　　1990年6月，华国京城，京城广播学院。
非人类基因统合体 　　辅州市境内的藩篱山区，植被茂密，山势复杂，又没有丰富的矿藏，当地政府对此地的开发并不上心。
龙珠之武天宗师 　　宇智波武天的意识从虚无之中渐渐清醒。
绝世天君 　　“哗啦啦！”
神级大矿主 　　江南省，五江市。
穿越诸天万界 　　第一章华山
幻想世界大穿越 　　　　站在台湾街头。
重生之最强人生 　　楔子：
寒门崛起 　　　　这里是下河村，一个普通的却又不普通的小村庄。
修炼狂潮 　　“现代的修行理论里说，其实所谓的真气也好，内功也好，都是生物能，都不是凭空产生的，除非你们能打通天地桥，成为先天高手，能吸收虚空之中的能量，否则你们现在所修炼产生的真气，都是你们身体的能量，在你们消耗真气的时候，就是在消耗你们身体内的能量，如果不及时补充的话，会掏空你们身体的底子！”
奋斗在红楼 　　寒风呼号，冬日中天色阴沉。庭院外的槐树枝“嘎嘎”摇动。
直死无限 　　“什么样的人才是正常人呢？”
东京绅士物语 　　　　随着下课铃声的响起，森夏的高一学年的第一个上午的课程就这样结束了，现在的时间是1997年4月7日的中午12点30分。
超级卡牌系统 　　阳光下的海滩，有着一种让人心醉的魅力。
最强反派系统 　　PS：本书因为个别原因，所有涉及到原著的人物都需要模糊处理或者修改姓名，并不是作者君故意写错，敬请谅解。
天醒之路 　　　　“我们要去哪？”小女孩问道。
天影 　　蛮荒行完结了，诛仙在十年前早就完结了。这个故事，或许还有，或许再也不会有，谁知道呢？我自己也不知道。
恐怖广播 　　绯红的唇，迷离的夜；
通天仙路 　　“喝！哈！杀！……”
完美人生 　　　　《剧情、细节以及人物形象－－我对这本小说的看法》
贞观大闲人 　　　　李素在挨揍。
异世界的美食家 　　潜龙大陆，清风帝国帝都。
我的1979 　　李和浑身一颤，满目诧异的望着远处，然后便无神的望起了天空……
重生日本当厨神 　　霓虹，东京，台东区。
冠军之心 　　　　“嘭嘭嘭”
龙王传说 　　　　高大的树木茂密得连阳光也无法透入，以至于，在这片大森林之中，看到的只有阴暗。
美食供应商 　　人间四月芳菲尽，山寺桃花始盛开。
斗战狂潮 　　欲望是进步的动力，也孕育了毁灭。
放开那个女巫 　　程岩感觉有人在叫他。
银狐 　　　　被一场雨水清洗过的戈壁干净得让人心醉。
天道图书馆 　　“骗子！大骗子！”
不朽凡人 　　“哈哈哈哈……若茵，我终于提炼出来了开脉药液，我成功了……”有些凌乱的实验室中，莫无忌抓住手中的瓷瓶哈哈大笑，状若疯狂。
圣墟 　　大漠孤烟直，长河落日圆。
一念永恒 　　帽儿山，位于东林山脉中，山下有一个村子，民风淳朴，以耕田为生，与世隔绝。
重生之都市修仙 　　2007年暑假，江南省楚州市ZS县一辆开往市区的金龙大巴上面。
玄界之门 　　　　浩瀚宇宙某个偏僻星域中，一点朦胧金光以某种固定速度在漆黑星空中徐徐飞行着，并不时从中传出阵阵啼鸣之声，若断若续，若有若无，仿佛泣血之音，又如九幽狞笑。
重生完美时代 　　　　2001年7月8日，一场突如其来的暴雨，如瓢泼一般卖力的冲刷着整个海州市。
重生之大设计师 　　“各位旅客，您好！欢迎乘坐由成都开往南通的K382次列车，列车前方即将到达南京站……”
最强的系统 　　“哎呦，我的妈哦，师兄好疼哦，你在用点力，我就快不行了。”圣魔宗练武场上，一名看似只有十六七岁的少年，此时站在那里，嗷嗷惨叫，但是看其那疼痛的神色上却是显露着一丝丝的爽快。
入侵娱乐圈的骗子 　　华夏，燕京。
火影之卡皇 　　繁华都市，璀璨的霓虹在夜色下绚烂，敞篷超跑引擎的咆哮声划过川流不息的街道，在路人的注目下，停在灯火通明的酒店前。
黑暗王者 　　灾雨季。
超级神基因 　　怪石嶙峋的山涧溪水边，一个黑衣少年手下按着一只外壳黝锃黑散发着金属光泽，长的像螃蟹，又有些像是独角仙的甲壳虫。
限制级巨星 　　“胖子！醒醒，别睡了，停电了！赶快回家睡去吧，你都在网吧呆了三天三夜了！。”
文娱教父 　　“这特么……是什么地方啊！”
两界搬运工 　　八月，能热死人的季节。
钢铁皇朝 　　像是睡了一个世纪，迷迷糊糊中醒来，萧铭头痛欲裂，入眼的是白色的纱帐，红色漆木雕琢的房间。
超能名帅 　　富恩拉夫拉达，位于西班牙首都马德里西南的小城市，著名的华人聚集地。
总裁校花赖上我 　　看着眼前，十五年前还是土坯危房的车站已经变成了三层豪华候车厅，楚楠有些感慨。
大国重工 　　第一章压缩四千万
我是系统之女帝养成计划 　　张南穿越了，穿了一年多。
全能运动员 　　　　年轻人打开房门，随手将外套朝沙发上一扔，便回到了自己的卧室，慵懒的躺在床上，掏出了手机开始滑屏。
王牌刺客 　　清晨，万籁俱寂。
这个天国不太平 　　冯绍光，一名毕业六年多的普通化工机械工程师，在一家大型炼油化工企业工作。面对买不起房找不到老婆的现实，酷爱历史地理的他，最近将全部精力投入到清朝历史及地方疆域的研究中，以此来麻醉自己。
时空棋局 　　　　九月，酷暑未散，米利坚“洛城”，如花的夏阳透过高大的法国梧桐树叶，在坚实的水泥路上朵朵盛开。
大国医 　　********
喵客信条 　　　　[[[CP|W:250|H:190|A:L|U:http://file1.qidian.com/chapters/20152/15/3401425635596293720527500482559.jpg]]]全名：安妮·奥兰托·图林根
一刀劈开生死路 　　深夜。
独步天途 　　嘉德54年4月。
一剑天途 　　编号：PH0332145
武道天下 　　风萧萧月冷兮，谁忆当年寒窗事？
一切从棋魂开始 　　相田聪一说出这些后，其它两位编辑长顿时语塞沉默了，少年JUMP居然被一个新人漫画家给威胁了？！
在日本渔村的日子 　　1950年夏，北海道根室半岛中的北弯小渔村，一个年轻人躺在床上仰天长叹，对着老天竖起了中指：“你这个天杀的贼老天，给老子玩穿越就玩穿越，为毛让老子穿越到RB来？还是1950年的RB是的，这个年轻人名字叫陆君袭，21世纪的三好青年，但是他一觉醒来后发现自己莫名其妙的就来到了1950年的RB还穿越在了一个叫南野秀一的人身上。陆君袭也是根据这个南野秀一的记忆才知道自己到了这里的。
大魏能臣 　　?东汉，中平四年，幽州渔阳郡，夜，一座形如卧虎的荒山之上，一位皓首童颜的道士正在仰观天象；天人感应，人类一直相信，无限的星空在冥冥之中和必然和我们着一定的联系；如果说每一颗星星都代表着地上的一个凡人，那么这漫天的星空就代表着九州大地，国运兴衰……
超级走私系统 　　2016年夏，这一年世界不太平，不是地震就是洪水，还有局部冲突，弄得难民四处都是，好好的日子不过，也不知道他们都是咋想的。
都市种子王 　　作为一个在南方城市打拼的外地小民，林曾每日的奔波，就像一只碌碌无为的蚁族。
王国血脉 　　据说能看得下这本书的读者们，毒抗属性那一栏都是MAX，不知道是不是真的。
三国之铁马山河 　　“苍天已死，黄天当立！”
超星空文明 　　太阳系，银河系第三旋臂——猎户旋臂上的一个单恒星系统，它距离银河系中心三万光年，是一个内部较为平静的恒星系。
重生明朝当皇帝 　　朱宁感觉到全身很乏力，心脏也很闷，嘴很苦又很干，眼睛惺忪疲倦，也睡不着。
破法之眼 　　星宇浩渺！包罗万象！
猎杀全球 　　子弹穿透枪膛射出的弹道在空中交织出一道道网，枪炮声随即而来打破夜幕下属于北非沙漠上空的平静。
有扇通往地下城的门 　　“嗡嗡！嗡嗡！”
地球唯一修士 　　略岭村的黄昏总比别处来得早，不过是下午五点半左右，天空看起来还很亮堂，那西边天际处，太阳已经缓缓落到金宝岭的两座山峰之间了。淡淡的橘红色云霞刚刚在山顶上盘绕，昏黄的阳光也肉眼可见的从略岭村斜斜的移走，照到村子东边茂盛的柿子树林上！
大清之祸害 　　古城，夜，流星。
奥特曼格斗进化 　　　　“咻！”
不当小明星 　　“最新消息，三环路刚刚发生一起严重酒驾事故，事故造成一人重伤两人轻伤。重伤者叫张扬，是我台一名实习主持人。据现场目击者介绍，张扬受伤的原因是为了救两个上学儿童。我为我们有这样的同事而感到骄傲。”
重生日本做阴阳师 　　　　雾蒙蒙的天空，一眼望去天地间到处都是灰尘，到处充满了死意，周围看不见一点生气，更有着有一股让人作呕的刺鼻味道弥漫在空气中。
魔潮起时 　　这是在一个梦里。
重生之华夏文圣 　　我他妈彻底完蛋了……
韩娱之名侦探 　　2014年年初，韩国仁川机场内走出来一位年轻男子，看他呆头呆脑的样子就知道是一位书呆子。
这是个角色扮演游戏 　　　　角色扮演游戏（Role－playinggame），简称为RPG，是一种内容宽泛的游戏类型。在游戏中，玩家负责扮演一个或多个角色在一个拥有特定结构化规则的或写实或虚构世界中活动，从而达到角色能力上与剧情上的发展。
无尽世界直播系统 　　眼睛一闭一睁，丁逸有些傻眼地看着此刻自己所在的地方。
降临诸天世界 　　喜欢无限类，电影降临类小说的人，谁没叶公好龙一般，幻想过自己有一天，去那些耳熟能闻的世界大杀四方。
桃源山庄 　　第一章四九城下的普通青年
大汉科技帝国 　　2020年8月的某天，帝国某高校附属研究所，此时已经是下班的时间，研究所内各个研究人员也都纷纷放下手中的事情，开始陆陆续续的准备下班回家！
一枪致命 　　银月城东，赤月戈壁，坐标1990，0813！
英雄联盟之暴打全球 　　明月网咖。
大瞬移时代 　　第一章瞬移为生
烂片之王 　　　　2003年，夏
超能大明星 　　苏山感觉自己头痛的要命，一幅幅画面不断的在他眼前飘过，并告诉着他，这就是他曾经的过去。
黑科技垄断公司 　　张恒直愣愣的看着这只至少有二十个面的不规则形魔方，在半空中徐徐转动，他的第一反应是朝四周看了看，第二个动作，则是缓缓走上前来，小心翼翼朝魔方上戳了戳。
在修仙界玩网游 　　“梦岚大世界，天有双日，夜升七月，七分为海，三分为陆。
华娱之闪耀巨星 　　　　2001年，秋。
我的妹妹洛天依 　　“大家好，我是UP主纯情小天使，今天我们来玩玩这款游戏.....”
宅之崛起 　　周渔不是个好孩子，毕业之后天天窝在家里不愿意出门，不找工作不找女朋友，怎么看都像是个废物。这让周家父母十分头疼，能用的办法都用了，甚至搞得关系都有点僵，可孩子就是不肯挪窝。
大漫画帝国 　　1994年，RB川澄中学，剑道馆。
纪元黎明 　　“嗤！”
和舞空一起游龙珠 　　001、孙悟空？
位面祭坛 　　走在鹅卵石铺就的小路上，沐浴在火辣辣的阳光下，汗水顺着后背流淌，但是蓝天雨的内心却是一片冰寒，仿佛正置身于寒冬之中，和外界环境完全是两个相反的世界。
女仆战争 　　猩红的月光笼罩着幽暗的城堡，孤单的王座上坐着一个俊美的少年。
超凡兵王 　　叶南提着一个旅行包，站在一个有些狭窄的巷子口，脚步有些踌躇，因为他还没想好怎么面对宋佳佳，怎么告诉她她相依为命的哥哥牺牲的消息。
汽车黑科技 　　已经过了立秋，可是位于中华北方的天城市还是不见一丝清凉。有气无力的暖风掀起泛着窗帘，懒洋洋地吹进教室里。
网游之神级机械猎人 　　李耀手里把玩着游戏眼镜，看着墙上的电子日历发呆。直到现在他还不敢置信，他居然重生了，重生到了十年前。
仙域科技霸主 　　李贤瞪大了眼睛，狠狠的盯着眼前水杯大小的玉石圆柱，不错，就是普通的玉石而已，只不过上面画满了鬼画符的纹路，让玉石有了新的功能——照明。
重生之小玩家 　　　　厨房里，秦风动作利索的把茄子切块，焯水。油稍微热一下，搁点儿葱段蒜泥和咸鱼碎菜脯碎爆香，茄子倒下去，再加点儿沙茶酱，翻炒几下，香味就散了开。
